configuration,plddt_mean,fdseq,novelty_l1,cd_at_0.5
"Baseline (35M, tangent, 180 ep)",72.89,0.2661,0.3027,0.3129
ESM-2 8M encoder (d=320),71.83,0.2502,0.309,0.3089
ESM-2 150M encoder (d=640),73.45,0.1539,0.2598,0.2706
ProtBERT encoder (d=1024),68.26,0.1462,0.288,0.292
270 epochs,78.61,0.3004,0.2119,0.2025
360 epochs,80.52,0.2921,0.1895,0.1936
Cosine noise schedule,54.02,0.1335,0.5251,1.0
Proxy foldability objective,74.56,0.3269,0.283,0.2415
Cluster selection (score-scaled),71.34,0.2518,0.3106,0.3159
Cluster selection (uniform 20%),43.2,0.0704,0.6004,0.8201
Composition objectives (unselected),40.69,0.0841,0.5918,0.8216
No selection (unfiltered 2000),40.63,0.0768,0.5969,0.8307
# real-sequence reference pLDDT = 78.87,,,,
